"CODE","DESCRIPTION","VALID","VALID_THRU"
"163","Hospital Intermediate Care - Level II Interim-Continuing Claims","1",""
"164","Hospital Intermediate Care - Level II Interim - Last Claim","1",""
"165","Hospital Intermediate Care - Level II Late Charge Only","1",""
"167","Hospital Intermediate Care - Level II Replacement of Prior Claim","1",""
"168","Hospital Intermediate Care - Level II Void/Cancel of Prior Claim","1",""
"169","Hospital Intermediate Care - Level II Final claim for a Home Health PPS Period","1",""
"16A","Hospital Intermediate Care - Level II Admission/Election Notice for Hospice","1",""
"16B","Hospital Intermediate Care - Level II Hospice Termination/ Revocation Notice","1",""
"16C","Hospital Intermediate Care - Level II Hospice Change of Provider Notice","1",""
"16D","Hospital Intermediate Care - Level II Hospice Election Void/Cancel","1",""
"16E","Hospital Intermediate Care - Level II Hospice Change of Ownership","1",""
"16F","Hospital Intermediate Care - Level II Beneficiary Initiated Adjustment Claim","1",""
"16G","Hospital Intermediate Care - Level II CWF Initiated Adjustment Claim","1",""
"16H","Hospital Intermediate Care - Level II CMS Initiated Adjustment Claim","1",""
"16I","Hospital Intermediate Care - Level II FI Adjustment Claim (Other than QIO or Provider)","1",""
"16J","Hospital Intermediate Care - Level II Initiated Adjustment Claim/Other","1",""
"16K","Hospital Intermediate Care - Level II OIG Initiated Adjustment Claim","1",""
"16M","Hospital Intermediate Care - Level II MSP Initiated Adjustment Claim","1",""
"16O","Hospital Intermediate Care - Level II Nonpayment/Zero Claims","1",""
"16P","Hospital Intermediate Care - Level II QIO Adjustment Claim","1",""
"16Q","Hospital Intermediate Care - Level II Reopening/Adjustment","1",""
"16X","Hospital Intermediate Care - Level II Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"16Y","Hospital Intermediate Care - Level II Replacement of Prior Abbreviated Encounter Submission","1",""
"16Z","Hospital Intermediate Care - Level II New Abbreviated Encounter Submission","1",""
"170","Hospital Subacute Inpatient Non-payment/Zero Claim","1",""
"171","Hospital Subacute Inpatient Admit Through Discharge","1",""
"172","Hospital Subacute Inpatient Interim - First Claim","1",""
"173","Hospital Subacute Inpatient Interim-Continuing Claims","1",""
"174","Hospital Subacute Inpatient Interim - Last Claim","1",""
"175","Hospital Subacute Inpatient Late Charge Only","1",""
"177","Hospital Subacute Inpatient Replacement of Prior Claim","1",""
"178","Hospital Subacute Inpatient Void/Cancel of Prior Claim","1",""
"179","Hospital Subacute Inpatient Final claim for a Home Health PPS Period","1",""
"17A","Hospital Subacute Inpatient Admission/Election Notice for Hospice","1",""
"17B","Hospital Subacute Inpatient Hospice Termination/ Revocation Notice","1",""
"17C","Hospital Subacute Inpatient Hospice Change of Provider Notice","1",""
"17D","Hospital Subacute Inpatient Hospice Election Void/Cancel","1",""
"17E","Hospital Subacute Inpatient Hospice Change of Ownership","1",""
"17F","Hospital Subacute Inpatient Beneficiary Initiated Adjustment Claim","1",""
"17G","Hospital Subacute Inpatient CWF Initiated Adjustment Claim","1",""
"17H","Hospital Subacute Inpatient CMS Initiated Adjustment Claim","1",""
"17I","Hospital Subacute Inpatient FI Adjustment Claim (Other than QIO or Provider)","1",""
"17J","Hospital Subacute Inpatient Initiated Adjustment Claim/Other","1",""
"17K","Hospital Subacute Inpatient OIG Initiated Adjustment Claim","1",""
"17M","Hospital Subacute Inpatient MSP Initiated Adjustment Claim","1",""
"17O","Hospital Subacute Inpatient Nonpayment/Zero Claims","1",""
"17P","Hospital Subacute Inpatient QIO Adjustment Claim","1",""
"17Q","Hospital Subacute Inpatient Reopening/Adjustment","1",""
"17X","Hospital Subacute Inpatient Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"17Y","Hospital Subacute Inpatient Replacement of Prior Abbreviated Encounter Submission","1",""
"17Z","Hospital Subacute Inpatient New Abbreviated Encounter Submission","1",""
"180","Hospital Swing BedsNon-payment/Zero Claim","1",""
"181","Hospital Swing BedsAdmit Through Discharge","1",""
"182","Hospital Swing BedsInterim - First Claim","1",""
"183","Hospital Swing BedsInterim-Continuing Claims","1",""
"184","Hospital Swing BedsInterim - Last Claim","1",""
"185","Hospital Swing BedsLate Charge Only","1",""
"187","Hospital Swing BedsReplacement of Prior Claim","1",""
"188","Hospital Swing BedsVoid/Cancel of Prior Claim","1",""
"189","Hospital Swing BedsFinal claim for a Home Health PPS Period","1",""
"18A","Hospital Swing BedsAdmission/Election Notice for Hospice","1",""
"18B","Hospital Swing BedsHospice Termination/ Revocation Notice","1",""
"18C","Hospital Swing BedsHospice Change of Provider Notice","1",""
"18D","Hospital Swing BedsHospice Election Void/Cancel","1",""
"18E","Hospital Swing BedsHospice Change of Ownership","1",""
"18F","Hospital Swing BedsBeneficiary Initiated Adjustment Claim","1",""
"18G","Hospital Swing BedsCWF Initiated Adjustment Claim","1",""
"18H","Hospital Swing BedsCMS Initiated Adjustment Claim","1",""
"18I","Hospital Swing BedsFI Adjustment Claim (Other than QIO or Provider)","1",""
"18J","Hospital Swing BedsInitiated Adjustment Claim/Other","1",""
"18K","Hospital Swing BedsOIG Initiated Adjustment Claim","1",""
"18M","Hospital Swing BedsMSP Initiated Adjustment Claim","1",""
"18O","Hospital Swing BedsNonpayment/Zero Claims","1",""
"18P","Hospital Swing BedsQIO Adjustment Claim","1",""
"18Q","Hospital Swing BedsReopening/Adjustment","1",""
"18X","Hospital Swing BedsVoid/Cancel a Prior Abbreviated Encounter Submission","1",""
"18Y","Hospital Swing BedsReplacement of Prior Abbreviated Encounter Submission","1",""
"18Z","Hospital Swing BedsNew Abbreviated Encounter Submission","1",""
"210","Skilled Nursing Facility (SNF) Inpatient (Part A) Non-payment/Zero Claim","1",""
"211","Skilled Nursing Facility (SNF) Inpatient (Part A) Admit Through Discharge","1",""
"212","Skilled Nursing Facility (SNF) Inpatient (Part A) Interim - First Claim","1",""
"213","Skilled Nursing Facility (SNF) Inpatient (Part A) Interim-Continuing Claims","1",""
"214","Skilled Nursing Facility (SNF) Inpatient (Part A) Interim - Last Claim","1",""
"215","Skilled Nursing Facility (SNF) Inpatient (Part A) Late Charge Only","1",""
"217","Skilled Nursing Facility (SNF) Inpatient (Part A) Replacement of Prior Claim","1",""
"218","Skilled Nursing Facility (SNF) Inpatient (Part A) Void/Cancel of Prior Claim","1",""
"219","Skilled Nursing Facility (SNF) Inpatient (Part A) Final claim for a Home Health PPS Period","1",""
"21A","Skilled Nursing Facility (SNF) Inpatient (Part A) Admission/Election Notice for Hospice","1",""
"21B","Skilled Nursing Facility (SNF) Inpatient (Part A) Hospice Termination/ Revocation Notice","1",""
"21C","Skilled Nursing Facility (SNF) Inpatient (Part A) Hospice Change of Provider Notice","1",""
"21D","Skilled Nursing Facility (SNF) Inpatient (Part A) Hospice Election Void/Cancel","1",""
"21E","Skilled Nursing Facility (SNF) Inpatient (Part A) Hospice Change of Ownership","1",""
"21F","Skilled Nursing Facility (SNF) Inpatient (Part A) Beneficiary Initiated Adjustment Claim","1",""
"21G","Skilled Nursing Facility (SNF) Inpatient (Part A) CWF Initiated Adjustment Claim","1",""
"21H","Skilled Nursing Facility (SNF) Inpatient (Part A) CMS Initiated Adjustment Claim","1",""
"21I","Skilled Nursing Facility (SNF) Inpatient (Part A) FI Adjustment Claim (Other than QIO or Provider)","1",""
"21J","Skilled Nursing Facility (SNF) Inpatient (Part A) Initiated Adjustment Claim/Other","1",""
"21K","Skilled Nursing Facility (SNF) Inpatient (Part A) OIG Initiated Adjustment Claim","1",""
"21M","Skilled Nursing Facility (SNF) Inpatient (Part A) MSP Initiated Adjustment Claim","1",""
"21O","Skilled Nursing Facility (SNF) Inpatient (Part A) Nonpayment/Zero Claims","1",""
"21P","Skilled Nursing Facility (SNF) Inpatient (Part A) QIO Adjustment Claim","1",""
"21Q","Skilled Nursing Facility (SNF) Inpatient (Part A) Reopening/Adjustment","1",""
"21X","Skilled Nursing Facility (SNF) Inpatient (Part A) Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"21Y","Skilled Nursing Facility (SNF) Inpatient (Part A) Replacement of Prior Abbreviated Encounter Submission","1",""
"21Z","Skilled Nursing Facility (SNF) Inpatient (Part A) New Abbreviated Encounter Submission","1",""
"220","Skilled Nursing Facility (SNF) Inpatient (Part B) Non-payment/Zero Claim","1",""
"221","Skilled Nursing Facility (SNF) Inpatient (Part B) Admit Through Discharge","1",""
"222","Skilled Nursing Facility (SNF) Inpatient (Part B) Interim - First Claim","1",""
"223","Skilled Nursing Facility (SNF) Inpatient (Part B) Interim-Continuing Claims","1",""
"224","Skilled Nursing Facility (SNF) Inpatient (Part B) Interim - Last Claim","1",""
"225","Skilled Nursing Facility (SNF) Inpatient (Part B) Late Charge Only","1",""
"227","Skilled Nursing Facility (SNF) Inpatient (Part B) Replacement of Prior Claim","1",""
"228","Skilled Nursing Facility (SNF) Inpatient (Part B) Void/Cancel of Prior Claim","1",""
"229","Skilled Nursing Facility (SNF) Inpatient (Part B) Final claim for a Home Health PPS Period","1",""
"22A","Skilled Nursing Facility (SNF) Inpatient (Part B) Admission/Election Notice for Hospice","1",""
"22B","Skilled Nursing Facility (SNF) Inpatient (Part B) Hospice Termination/ Revocation Notice","1",""
"22C","Skilled Nursing Facility (SNF) Inpatient (Part B) Hospice Change of Provider Notice","1",""
"22D","Skilled Nursing Facility (SNF) Inpatient (Part B) Hospice Election Void/Cancel","1",""
"22E","Skilled Nursing Facility (SNF) Inpatient (Part B) Hospice Change of Ownership","1",""
"22F","Skilled Nursing Facility (SNF) Inpatient (Part B) Beneficiary Initiated Adjustment Claim","1",""
"22G","Skilled Nursing Facility (SNF) Inpatient (Part B) CWF Initiated Adjustment Claim","1",""
"22H","Skilled Nursing Facility (SNF) Inpatient (Part B) CMS Initiated Adjustment Claim","1",""
"22I","Skilled Nursing Facility (SNF) Inpatient (Part B) FI Adjustment Claim (Other than QIO or Provider)","1",""
"22J","Skilled Nursing Facility (SNF) Inpatient (Part B) Initiated Adjustment Claim/Other","1",""
"22K","Skilled Nursing Facility (SNF) Inpatient (Part B) OIG Initiated Adjustment Claim","1",""
"22M","Skilled Nursing Facility (SNF) Inpatient (Part B) MSP Initiated Adjustment Claim","1",""
"22O","Skilled Nursing Facility (SNF) Inpatient (Part B) Nonpayment/Zero Claims","1",""
"22P","Skilled Nursing Facility (SNF) Inpatient (Part B) QIO Adjustment Claim","1",""
"22Q","Skilled Nursing Facility (SNF) Inpatient (Part B) Reopening/Adjustment","1",""
"22X","Skilled Nursing Facility (SNF) Inpatient (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"22Y","Skilled Nursing Facility (SNF) Inpatient (Part B) Replacement of Prior Abbreviated Encounter Submission","1",""
"22Z","Skilled Nursing Facility (SNF) Inpatient (Part B) New Abbreviated Encounter Submission","1",""
"230","Skilled Nursing Facility (SNF) Outpatient Non-payment/Zero Claim","1",""
"231","Skilled Nursing Facility (SNF) Outpatient Admit Through Discharge","1",""
"232","Skilled Nursing Facility (SNF) Outpatient Interim - First Claim","1",""
"233","Skilled Nursing Facility (SNF) Outpatient Interim-Continuing Claims","1",""
"234","Skilled Nursing Facility (SNF) Outpatient Interim - Last Claim","1",""
"235","Skilled Nursing Facility (SNF) Outpatient Late Charge Only","1",""
"237","Skilled Nursing Facility (SNF) Outpatient Replacement of Prior Claim","1",""
"238","Skilled Nursing Facility (SNF) Outpatient Void/Cancel of Prior Claim","1",""
"239","Skilled Nursing Facility (SNF) Outpatient Final claim for a Home Health PPS Period","1",""
"23A","Skilled Nursing Facility (SNF) Outpatient Admission/Election Notice for Hospice","1",""
"23B","Skilled Nursing Facility (SNF) Outpatient Hospice Termination/ Revocation Notice","1",""
"23C","Skilled Nursing Facility (SNF) Outpatient Hospice Change of Provider Notice","1",""
"23D","Skilled Nursing Facility (SNF) Outpatient Hospice Election Void/Cancel","1",""
"23E","Skilled Nursing Facility (SNF) Outpatient Hospice Change of Ownership","1",""
"23F","Skilled Nursing Facility (SNF) Outpatient Beneficiary Initiated Adjustment Claim","1",""
"23G","Skilled Nursing Facility (SNF) Outpatient CWF Initiated Adjustment Claim","1",""
"23H","Skilled Nursing Facility (SNF) Outpatient CMS Initiated Adjustment Claim","1",""
"23I","Skilled Nursing Facility (SNF) Outpatient FI Adjustment Claim (Other than QIO or Provider)","1",""
"23J","Skilled Nursing Facility (SNF) Outpatient Initiated Adjustment Claim/Other","1",""
"23K","Skilled Nursing Facility (SNF) Outpatient OIG Initiated Adjustment Claim","1",""
"23M","Skilled Nursing Facility (SNF) Outpatient MSP Initiated Adjustment Claim","1",""
"23O","Skilled Nursing Facility (SNF) Outpatient Nonpayment/Zero Claims","1",""
"23P","Skilled Nursing Facility (SNF) Outpatient QIO Adjustment Claim","1",""
"23Q","Skilled Nursing Facility (SNF) Outpatient Reopening/Adjustment","1",""
"23X","Skilled Nursing Facility (SNF) Outpatient Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"23Y","Skilled Nursing Facility (SNF) Outpatient Replacement of Prior Abbreviated Encounter Submission","1",""
"23Z","Skilled Nursing Facility (SNF) Outpatient New Abbreviated Encounter Submission","1",""
"240","Skilled Nursing Facility (SNF) Other (Part B) Non-payment/Zero Claim","1",""
"241","Skilled Nursing Facility (SNF) Other (Part B) Admit Through Discharge","1",""
"242","Skilled Nursing Facility (SNF) Other (Part B) Interim - First Claim","1",""
"243","Skilled Nursing Facility (SNF) Other (Part B) Interim-Continuing Claims","1",""
"244","Skilled Nursing Facility (SNF) Other (Part B) Interim - Last Claim","1",""
"245","Skilled Nursing Facility (SNF) Other (Part B) Late Charge Only","1",""
"247","Skilled Nursing Facility (SNF) Other (Part B) Replacement of Prior Claim","1",""
"248","Skilled Nursing Facility (SNF) Other (Part B) Void/Cancel of Prior Claim","1",""
"249","Skilled Nursing Facility (SNF) Other (Part B) Final claim for a Home Health PPS Period","1",""
"24A","Skilled Nursing Facility (SNF) Other (Part B) Admission/Election Notice for Hospice","1",""
"24B","Skilled Nursing Facility (SNF) Other (Part B) Hospice Termination/ Revocation Notice","1",""
"24C","Skilled Nursing Facility (SNF) Other (Part B) Hospice Change of Provider Notice","1",""
"24D","Skilled Nursing Facility (SNF) Other (Part B) Hospice Election Void/Cancel","1",""
"24E","Skilled Nursing Facility (SNF) Other (Part B) Hospice Change of Ownership","1",""
"24F","Skilled Nursing Facility (SNF) Other (Part B) Beneficiary Initiated Adjustment Claim","1",""
"24G","Skilled Nursing Facility (SNF) Other (Part B) CWF Initiated Adjustment Claim","1",""
"24H","Skilled Nursing Facility (SNF) Other (Part B) CMS Initiated Adjustment Claim","1",""
"24I","Skilled Nursing Facility (SNF) Other (Part B) FI Adjustment Claim (Other than QIO or Provider)","1",""
"24J","Skilled Nursing Facility (SNF) Other (Part B) Initiated Adjustment Claim/Other","1",""
"24K","Skilled Nursing Facility (SNF) Other (Part B) OIG Initiated Adjustment Claim","1",""
"24M","Skilled Nursing Facility (SNF) Other (Part B) MSP Initiated Adjustment Claim","1",""
"24O","Skilled Nursing Facility (SNF) Other (Part B) Nonpayment/Zero Claims","1",""
"24P","Skilled Nursing Facility (SNF) Other (Part B) QIO Adjustment Claim","1",""
"24Q","Skilled Nursing Facility (SNF) Other (Part B) Reopening/Adjustment","1",""
"24X","Skilled Nursing Facility (SNF) Other (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"24Y","Skilled Nursing Facility (SNF) Other (Part B) Replacement of Prior Abbreviated Encounter Submission","1",""
"24Z","Skilled Nursing Facility (SNF) Other (Part B) New Abbreviated Encounter Submission","1",""
"250","Skilled Nursing Facility (SNF) Intermediate Care - Level I Non-payment/Zero Claim","1",""
"251","Skilled Nursing Facility (SNF) Intermediate Care - Level I Admit Through Discharge","1",""
"252","Skilled Nursing Facility (SNF) Intermediate Care - Level I Interim - First Claim","1",""
"253","Skilled Nursing Facility (SNF) Intermediate Care - Level I Interim-Continuing Claims","1",""
"254","Skilled Nursing Facility (SNF) Intermediate Care - Level I Interim - Last Claim","1",""
"255","Skilled Nursing Facility (SNF) Intermediate Care - Level I Late Charge Only","1",""
"257","Skilled Nursing Facility (SNF) Intermediate Care - Level I Replacement of Prior Claim","1",""
"258","Skilled Nursing Facility (SNF) Intermediate Care - Level I Void/Cancel of Prior Claim","1",""
"259","Skilled Nursing Facility (SNF) Intermediate Care - Level I Final claim for a Home Health PPS Period","1",""
"25A","Skilled Nursing Facility (SNF) Intermediate Care - Level I Admission/Election Notice for Hospice","1",""
"25B","Skilled Nursing Facility (SNF) Intermediate Care - Level I Hospice Termination/ Revocation Notice","1",""
"25C","Skilled Nursing Facility (SNF) Intermediate Care - Level I Hospice Change of Provider Notice","1",""
"25D","Skilled Nursing Facility (SNF) Intermediate Care - Level I Hospice Election Void/Cancel","1",""
"25E","Skilled Nursing Facility (SNF) Intermediate Care - Level I Hospice Change of Ownership","1",""
"25F","Skilled Nursing Facility (SNF) Intermediate Care - Level I Beneficiary Initiated Adjustment Claim","1",""
"25G","Skilled Nursing Facility (SNF) Intermediate Care - Level I CWF Initiated Adjustment Claim","1",""
"25H","Skilled Nursing Facility (SNF) Intermediate Care - Level I CMS Initiated Adjustment Claim","1",""
"25I","Skilled Nursing Facility (SNF) Intermediate Care - Level I FI Adjustment Claim (Other than QIO or Provider)","1",""
"25J","Skilled Nursing Facility (SNF) Intermediate Care - Level I Initiated Adjustment Claim/Other","1",""
"25K","Skilled Nursing Facility (SNF) Intermediate Care - Level I OIG Initiated Adjustment Claim","1",""
"25M","Skilled Nursing Facility (SNF) Intermediate Care - Level I MSP Initiated Adjustment Claim","1",""
"25O","Skilled Nursing Facility (SNF) Intermediate Care - Level I Nonpayment/Zero Claims","1",""
"25P","Skilled Nursing Facility (SNF) Intermediate Care - Level I QIO Adjustment Claim","1",""
"25Q","Skilled Nursing Facility (SNF) Intermediate Care - Level I Reopening/Adjustment","1",""
"25X","Skilled Nursing Facility (SNF) Intermediate Care - Level I Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"25Y","Skilled Nursing Facility (SNF) Intermediate Care - Level I Replacement of Prior Abbreviated Encounter Submission","1",""
